description,name,alarms,connected,dhcpClients,volume,source,channel,firmware,queue,digits,inUse,setTemperature,actualTemperature,setting,alarm_status,lastSeen,uptime,is_on,is_connected,paired_device,wifi_strength,paperJam,inkStock,battery,voiceQuality,bagelMode,isToasting,oodl,patch,qa_passed,is_streaming,media_type,paperStock,motionDetected,bytesReceived,bytesSent,macAddress,packetLossRate,packetsLost
,Heimdallr Surveilence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,90778,376026,77:20:A2:6E:9D:A6,0.002,752
XBOXONE,XBOX,NA,NA,NA,NA,NA,NA,3.67.1r34,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,EE:4C:61:44:D7:37,0.002,0
,Sara's iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3415672,3286042,83:1C:61:F8:B1:6F,0.002,6572
Google Pixel- Android 7.7.1,Pixel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3360295,3375974,EA:DC:80:70:45:1A,0.002,6751
Voice Over IP Telephone,VOIPPHONE,NA,NA,NA,NA,NA,NA,NA,NA,10,False,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,245205,268250,00-14-22-01-23-45,0.002,536
Nest Smart Thermostat,nest,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,21,21,NA,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8329,17376,D9:ED:8A:D4:16:97,0.002,34
Toasty The Smart Toaster!,ToastMaster 9000,NA,NA,NA,NA,NA,NA,0001,NA,NA,NA,NA,NA,4,NA,Sun Mar  5 07:25:59 2017,67725,NA,NA,NA,NA,NA,NA,NA,NA,False,False,"{u'MD': 160, u'MC': 180, u'quotes': 140, u'MJ': False, u'KS': 180, u'debug': [6.1, 6.2, 7.1, 2.0, 2.1, 2.3, 2.4], u'OW': 100, u'PH': 100}",0,False,NA,NA,NA,NA,8661,16994,FA:74:C8:61:6C:69,0.002,33
,SmokeDetector,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,0,Sun Mar  5 07:25:59 2017,67725,True,NA,NA,NA,NA,NA,"{u'battery_percentage': 100, u'charging': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17862,8306,F2:56:9B:69:61:4D,0.002,16
Google Chromecast Ultra,Basement-Chromecast,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,1428844012,1376265057,94:9f:3e:09:cd:f8,0.002,2752530
AppleTV tvOS 10,Apple TV,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:25:59 2017,67725,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,Music,NA,NA,1815185659,1906973647,f4:f5:d8:b7:16:8c,0.002,3813947
Buffalo Home Gateway + Router,HomeGateway,[],NA,"[{u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:08:5A:59', u'expires': 232380, u'ip_address': u'192.168.1.42'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:0A:66:34', u'expires': 232380, u'ip_address': u'192.168.1.10'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'94:9f:3e:09:cf:62', u'expires': 232380, u'ip_address': u'192.168.1.112'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'30:05:5c:61:1d:c4', u'expires': 232380, u'ip_address': u'192.168.1.111'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'77:20:A2:6E:9D:A6', u'expires': 232380, u'ip_address': u'192.168.1.132'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'EE:4C:61:44:D7:37', u'expires': 232380, u'ip_address': u'192.168.1.181'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'83:1C:61:F8:B1:6F', u'expires': 232380, u'ip_address': u'192.168.1.120'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'EA:DC:80:70:45:1A', u'expires': 232380, u'ip_address': u'192.168.1.125'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'00-14-22-01-23-45', u'expires': 232380, u'ip_address': u'192.168.1.185'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'D9:ED:8A:D4:16:97', u'expires': 232380, u'ip_address': u'192.168.1.177'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'FA:74:C8:61:6C:69', u'expires': 232380, u'ip_address': u'192.168.0.56'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'F2:56:9B:69:61:4D', u'expires': 232380, u'ip_address': u'192.168.1.77'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'94:9f:3e:09:cd:f8', u'expires': 232380, u'ip_address': u'192.168.1.118'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'f4:f5:d8:b7:16:8c', u'expires': 232380, u'ip_address': u'192.168.1.117'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3934646216,2017852154,00:1D:2C:3B:4A:00,0.002,4035704
Windows 10 Professional intel core i7,Family-Desktop,"[{u'title': u'packet loss above threshold', u'description': u'packet loss above threshold.', u'severity': u'warning'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561242268,561257957,E8:94:F6:08:5A:59,29,16276480753
Windows 10 Professional intel core i5,Dads-Office-Desktop,"[{u'title': u'packet loss above threshold', u'description': u'packet loss above threshold.', u'severity': u'warning'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561258369,561251156,E8:94:F6:0A:66:34,29,16276283524
"Samsung 50"" LCD TV",Livingroom-TV,NA,NA,NA,,HDMI,,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1705,1645,94:9f:3e:09:cf:62,0.002,3
HP Photojet Printer,HP-Photojet-Printer,"[{u'timestamp': u'Sun Mar  5 07:26:59 2017', u'message': u'Paper Jam in tray A', u'id': 1130, u'severity': u'critical'}]",True,NA,NA,NA,NA,10045,"[{u'source': u'192.168.1.42', u'document': u'report%20on%20ethics.doc', u'id': 304}, {u'source': u'192.168.1.10', u'document': u'bbm_7273462388.png', u'id': 305}]",NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,True,"{u'cyan': True, u'magenta': False, u'black': True, u'yellow': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,True,NA,17569,8688,30:05:5c:61:1d:c4,0.002,17
,Heimdallr Surveilence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,90801,376079,77:20:A2:6E:9D:A6,0.002,752
XBOXONE,XBOX,NA,NA,NA,NA,NA,NA,3.67.1r34,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,EE:4C:61:44:D7:37,0.002,0
,Sara's iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3420264,3290104,83:1C:61:F8:B1:6F,0.002,6580
Google Pixel- Android 7.7.1,Pixel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3361790,3375975,EA:DC:80:70:45:1A,0.002,6751
Voice Over IP Telephone,VOIPPHONE,NA,NA,NA,NA,NA,NA,NA,NA,10,False,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,245251,268266,00-14-22-01-23-45,0.002,536
Nest Smart Thermostat,nest,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,21,21,NA,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8332,17407,D9:ED:8A:D4:16:97,0.002,34
Toasty The Smart Toaster!,ToastMaster 9000,NA,NA,NA,NA,NA,NA,0001,NA,NA,NA,NA,NA,4,NA,Sun Mar  5 07:26:59 2017,67785,NA,NA,NA,NA,NA,NA,NA,NA,False,False,"{u'MD': 160, u'MC': 180, u'quotes': 140, u'MJ': False, u'KS': 180, u'debug': [6.1, 6.2, 7.1, 2.0, 2.1, 2.3, 2.4], u'OW': 100, u'PH': 100}",0,False,NA,NA,NA,NA,8668,17022,FA:74:C8:61:6C:69,0.002,34
,SmokeDetector,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,0,Sun Mar  5 07:26:59 2017,67785,True,NA,NA,NA,NA,NA,"{u'battery_percentage': 100, u'charging': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17876,8308,F2:56:9B:69:61:4D,0.002,16
Google Chromecast Ultra,Basement-Chromecast,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,1428844015,1376265058,94:9f:3e:09:cd:f8,0.002,2752530
AppleTV tvOS 10,Apple TV,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:26:59 2017,67785,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,Music,NA,NA,1815185659,1906973647,f4:f5:d8:b7:16:8c,0.002,3813947
Buffalo Home Gateway + Router,HomeGateway,[],NA,"[{u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:08:5A:59', u'expires': 232320, u'ip_address': u'192.168.1.42'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:0A:66:34', u'expires': 232320, u'ip_address': u'192.168.1.10'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'94:9f:3e:09:cf:62', u'expires': 232320, u'ip_address': u'192.168.1.112'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'30:05:5c:61:1d:c4', u'expires': 232320, u'ip_address': u'192.168.1.111'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'77:20:A2:6E:9D:A6', u'expires': 232320, u'ip_address': u'192.168.1.132'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'EE:4C:61:44:D7:37', u'expires': 232320, u'ip_address': u'192.168.1.181'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'83:1C:61:F8:B1:6F', u'expires': 232320, u'ip_address': u'192.168.1.120'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'EA:DC:80:70:45:1A', u'expires': 232320, u'ip_address': u'192.168.1.125'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'00-14-22-01-23-45', u'expires': 232320, u'ip_address': u'192.168.1.185'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'D9:ED:8A:D4:16:97', u'expires': 232320, u'ip_address': u'192.168.1.177'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'FA:74:C8:61:6C:69', u'expires': 232320, u'ip_address': u'192.168.0.56'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'F2:56:9B:69:61:4D', u'expires': 232320, u'ip_address': u'192.168.1.77'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'94:9f:3e:09:cd:f8', u'expires': 232320, u'ip_address': u'192.168.1.118'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'f4:f5:d8:b7:16:8c', u'expires': 232320, u'ip_address': u'192.168.1.117'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3936332309,2021211944,00:1D:2C:3B:4A:00,0.002,4042423
Windows 10 Professional intel core i7,Family-Desktop,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562188576,562203735,E8:94:F6:08:5A:59,31,17428315785
Windows 10 Professional intel core i5,Dads-Office-Desktop,[],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562204168,562197347,E8:94:F6:0A:66:34,31,17428117757
"Samsung 50"" LCD TV",Livingroom-TV,NA,NA,NA,,HDMI,,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706,1648,94:9f:3e:09:cf:62,0.002,3
HP Photojet Printer,HP-Photojet-Printer,"[{u'timestamp': u'Sun Mar  5 07:27:59 2017', u'message': u'Paper Jam in tray A', u'id': 1131, u'severity': u'critical'}]",True,NA,NA,NA,NA,10045,"[{u'source': u'192.168.1.42', u'document': u'report%20on%20ethics.doc', u'id': 304}, {u'source': u'192.168.1.10', u'document': u'bbm_7273462388.png', u'id': 305}]",NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,True,"{u'cyan': True, u'magenta': False, u'black': True, u'yellow': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,True,NA,17587,8693,30:05:5c:61:1d:c4,0.002,17
,Heimdallr Surveilence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,90896,376342,77:20:A2:6E:9D:A6,0.002,752
XBOXONE,XBOX,NA,NA,NA,NA,NA,NA,3.67.1r34,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,EE:4C:61:44:D7:37,0.002,0
,Sara's iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3423183,3292838,83:1C:61:F8:B1:6F,0.002,6585
Google Pixel- Android 7.7.1,Pixel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3363149,3379176,EA:DC:80:70:45:1A,0.002,6758
Voice Over IP Telephone,VOIPPHONE,NA,NA,NA,NA,NA,NA,NA,NA,10,False,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,245288,268291,00-14-22-01-23-45,0.002,536
Nest Smart Thermostat,nest,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,21,21,NA,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8337,17423,D9:ED:8A:D4:16:97,0.002,34
Toasty The Smart Toaster!,ToastMaster 9000,NA,NA,NA,NA,NA,NA,0001,NA,NA,NA,NA,NA,4,NA,Sun Mar  5 07:27:59 2017,67845,NA,NA,NA,NA,NA,NA,NA,NA,False,False,"{u'MD': 160, u'MC': 180, u'quotes': 140, u'MJ': False, u'KS': 180, u'debug': [6.1, 6.2, 7.1, 2.0, 2.1, 2.3, 2.4], u'OW': 100, u'PH': 100}",0,False,NA,NA,NA,NA,8669,17035,FA:74:C8:61:6C:69,0.002,34
,SmokeDetector,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,0,Sun Mar  5 07:27:59 2017,67845,True,NA,NA,NA,NA,NA,"{u'battery_percentage': 100, u'charging': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17882,8318,F2:56:9B:69:61:4D,0.002,16
Google Chromecast Ultra,Basement-Chromecast,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,1428844015,1376265060,94:9f:3e:09:cd:f8,0.002,2752530
AppleTV tvOS 10,Apple TV,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:27:59 2017,67845,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,Music,NA,NA,1815185659,1906973647,f4:f5:d8:b7:16:8c,0.002,3813947
Buffalo Home Gateway + Router,HomeGateway,[],NA,"[{u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:08:5A:59', u'expires': 232260, u'ip_address': u'192.168.1.42'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'E8:94:F6:0A:66:34', u'expires': 232260, u'ip_address': u'192.168.1.10'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'94:9f:3e:09:cf:62', u'expires': 232260, u'ip_address': u'192.168.1.112'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'30:05:5c:61:1d:c4', u'expires': 232260, u'ip_address': u'192.168.1.111'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'77:20:A2:6E:9D:A6', u'expires': 232260, u'ip_address': u'192.168.1.132'}, {u'interface': u'eth0', u'type': u'static', u'mac': u'EE:4C:61:44:D7:37', u'expires': 232260, u'ip_address': u'192.168.1.181'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'83:1C:61:F8:B1:6F', u'expires': 232260, u'ip_address': u'192.168.1.120'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'EA:DC:80:70:45:1A', u'expires': 232260, u'ip_address': u'192.168.1.125'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'00-14-22-01-23-45', u'expires': 232260, u'ip_address': u'192.168.1.185'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'D9:ED:8A:D4:16:97', u'expires': 232260, u'ip_address': u'192.168.1.177'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'FA:74:C8:61:6C:69', u'expires': 232260, u'ip_address': u'192.168.0.56'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'F2:56:9B:69:61:4D', u'expires': 232260, u'ip_address': u'192.168.1.77'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'94:9f:3e:09:cd:f8', u'expires': 232260, u'ip_address': u'192.168.1.118'}, {u'interface': u'wlan0', u'type': u'static', u'mac': u'f4:f5:d8:b7:16:8c', u'expires': 232260, u'ip_address': u'192.168.1.117'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3938039202,2024617976,00:1D:2C:3B:4A:00,0.002,4049235
Windows 10 Professional intel core i7,Family-Desktop,"[{u'title': u'packet loss above threshold', u'description': u'packet loss above threshold.', u'severity': u'warning'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563145977,563160870,E8:94:F6:08:5A:59,33,18584308710
Windows 10 Professional intel core i5,Dads-Office-Desktop,"[{u'title': u'packet loss above threshold', u'description': u'packet loss above threshold.', u'severity': u'warning'}]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563161212,563154809,E8:94:F6:0A:66:34,33,18584108697
"Samsung 50"" LCD TV",Livingroom-TV,NA,NA,NA,,HDMI,,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706,1649,94:9f:3e:09:cf:62,0.002,3
HP Photojet Printer,HP-Photojet-Printer,"[{u'timestamp': u'Sun Mar  5 07:28:59 2017', u'message': u'Paper Jam in tray A', u'id': 1132, u'severity': u'critical'}]",True,NA,NA,NA,NA,10045,"[{u'source': u'192.168.1.42', u'document': u'report%20on%20ethics.doc', u'id': 304}, {u'source': u'192.168.1.10', u'document': u'bbm_7273462388.png', u'id': 305}]",NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,True,"{u'cyan': True, u'magenta': False, u'black': True, u'yellow': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,True,NA,17605,8701,30:05:5c:61:1d:c4,0.002,17
,Heimdallr Surveilence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,91016,376625,77:20:A2:6E:9D:A6,0.002,753
XBOXONE,XBOX,NA,NA,NA,NA,NA,NA,3.67.1r34,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,EE:4C:61:44:D7:37,0.002,0
,Sara's iPhone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3428607,3297224,83:1C:61:F8:B1:6F,0.002,6594
Google Pixel- Android 7.7.1,Pixel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,low,NA,NA,"{u'battery_percentage': 70, u'charging': False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3364422,3379512,EA:DC:80:70:45:1A,0.002,6759
Voice Over IP Telephone,VOIPPHONE,NA,NA,NA,NA,NA,NA,NA,NA,10,False,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,245304,268349,00-14-22-01-23-45,0.002,536
Nest Smart Thermostat,nest,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,21,21,NA,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8350,17423,D9:ED:8A:D4:16:97,0.002,34
Toasty The Smart Toaster!,ToastMaster 9000,NA,NA,NA,NA,NA,NA,0001,NA,NA,NA,NA,NA,4,NA,Sun Mar  5 07:28:59 2017,67905,NA,NA,NA,NA,NA,NA,NA,NA,False,False,"{u'MD': 160, u'MC': 180, u'quotes': 140, u'MJ': False, u'KS': 180, u'debug': [6.1, 6.2, 7.1, 2.0, 2.1, 2.3, 2.4], u'OW': 100, u'PH': 100}",0,False,NA,NA,NA,NA,8680,17035,FA:74:C8:61:6C:69,0.002,34
,SmokeDetector,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,0,Sun Mar  5 07:28:59 2017,67905,True,NA,NA,NA,NA,NA,"{u'battery_percentage': 100, u'charging': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17886,8327,F2:56:9B:69:61:4D,0.002,16
Google Chromecast Ultra,Basement-Chromecast,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA,NA,NA,1428844015,1376265060,94:9f:3e:09:cd:f8,0.002,2752530
AppleTV tvOS 10,Apple TV,NA,NA,NA,NA,NA,NA,10045,NA,NA,NA,NA,NA,NA,NA,Sun Mar  5 07:28:59 2017,67905,False,False,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,Music,NA,NA,1815185659,1906973647,f4:f5:d8:b7:16:8c,0.002,3813947
